ItemID,Sentiment,Date & Time,Source,SentimentText
35,0,2014-11-17 02:07:03 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", - All Time Low shall be my motivation for the rest of the week.
36,0,2014-11-17 03:36:56 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody"
37,0,2014-11-17 04:33:53 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  another year of Lakers .. That's neither magic nor fun ...
38,0,2014-11-17 05:26:12 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  baddest day eveer. 
39,0,2014-11-17 06:56:37 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  but i'm proud.
40,0,2014-11-17 07:19:20 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  congrats to helio though
41,0,2014-11-17 08:00:45 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. 
42,0,2014-11-17 09:36:38 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC
43,0,2014-11-17 19:35:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  Hand quilting it is then...
44,0,2014-11-17 20:13:59 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  hate u ...  leysh t9ar5 ... =((((((( ..
45,0,2014-11-17 21:13:54 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
46,0,2014-11-17 22:36:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I miss Earl
47,0,2014-11-17 22:54:25 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I miss New Jersey
48,0,2014-11-17 23:50:09 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  I missed the first hour of SYTYCD last night, and I can't find it online!"
49,0,2014-11-17 00:47:39 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I need a U2 fix NOW!
50,0,2014-11-17 02:09:04 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I never thought I'd become second choice...
51,0,2014-11-17 04:19:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I think I may be too friendly...lol... o well...
52,0,2014-11-17 05:08:43 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I think Manuel (my Basil plant) only has days to live   
53,0,2014-11-17 06:01:45 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I wanna be at home @ church...I wonder wht they are doing?
54,0,2014-11-17 07:39:52 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  i wanna make my own pizza
55,0,2014-11-17 07:37:58 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
56,0,2014-11-17 8:08:07 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  i want a hug
57,0,2014-11-17 09:12:34 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I want Miley to tour Australia
58,0,2014-11-17 10:01:11 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
59,0,2014-11-17 11:59:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  i was too slow to get $1 Up tix
60,0,2014-11-17 12:53:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  I will send sunshine to Northern Ireland, are you going swimming today @kezbat"
61,0,2014-11-17 13:49:54 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   
62,0,2014-11-17 14:49:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  i would be so much happier if the walls of my bedroom were painted white,"
63,0,2014-11-17 15:49:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
64,0,2014-11-17 16:35:26 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
65,0,2014-11-17 17:07:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  im sick  'cough cough'
66,0,2014-11-17 18:54:09 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  in cab headed to the airport!  going home.... &lt;christy&gt;
67,0,2014-11-17 19:11:12 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work
68,0,2014-11-17 20:45:07 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  jonas day is almost over... 
69,0,2014-11-17 21:07:40 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
70,0,2014-11-17 22:09:48 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
71,0,2014-11-17 23:16:14 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  mi momacita won't let me go to my bf's bball game!!! grrr!!!
72,0,2014-11-17 00:38:21 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
73,0,2014-11-18 01:16:02 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  My new car was stolen....by my mother who wanted to go pose at church.
74,0,2014-11-18 02:49:49 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  no hang out with the girls 2day. 2moro, hope so......"
75,0,2014-11-18 03:45:22 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
76,0,2014-11-18 04:44:19 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  no pavel tonight &lt;Tigersfan &gt;
77,0,2014-11-18 05:13:55 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  not a cool night.
78,0,2014-11-18 06:11:31 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  probably guna get off soon since no one is talkin no more
79,0,2014-11-18 07:52:37 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  really wanted Safina to pull out a win &amp; to lose like that...
80,0,2014-11-18 08:04:16 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  RIP, David Eddings."
81,0,2014-11-18 09:23:24 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
82,0,2014-11-18 10:49:31 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  so whats the status on next weekend
83,0,2014-11-18 11:40:21 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
84,0,2014-11-18 12:15:29 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
85,0,2014-11-18 13:09:37 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
86,0,2014-11-18 14:08:34 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  u guys knw whyy
87,0,2014-11-18 15:54:48 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  very much so 
88,0,2014-11-18 16:30:56 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
89,0,2014-11-18 17:50:36 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
90,0,2014-11-18 18:50:55 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
91,0,2014-11-18 19:50:41 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  where is my picture i feel naked 
92,0,2014-11-18 20:48:39 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
93,0,2014-11-18 21:46:22 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", - Why must people be so picky. I mean 6 hours work and no dice!? what�s up with that! http://tumblr.com/xsg1m3ufn
94,0,2014-11-18 22:46:04 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
95,0,2014-11-18 23:41:49 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
96,0,2014-11-18 00:50:22 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",  you'll always be my one and only...  [12*23*2007]
97,0,2014-11-18 01:44:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", #3turnoffwords this shit sucks
98,0,2014-11-18 02:41:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", #asylm J2 panel is over. Guess it's back to normal life.
99,0,2014-11-18 03:33:09 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", #squarespace brighten my bad day! i never win anything...
100,0,2014-11-18 03:22:54 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
101,0,2014-11-18 04:11:02 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", #twenty20
102,0,2014-11-18 05:08:15 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", &lt;3 GrAdUaTE 09&lt;3
103,0,2014-11-18 05:52:35 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
104,0,2014-11-18 06:46:19 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far 
105,0,2014-11-18 07:40:53 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
106,0,2014-11-18 08:38:11 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", - ticketsandpassports:  lmao your not a nerd. i think its cool when guys like anime. http://tumblr.com/xqn1x1tue
107,0,2014-11-18 08:57:48 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I guess I wouldn't be a true Cleveland sports fan without years of collapse and disappointment
108,0,2014-11-18 09:05:19 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I make nonsense jokes that make pain to others....
109,0,2014-11-18 09:21:04 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I'm so depressed @kimhoward_ were sadd
110,0,2014-11-18 10:40:33 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," im so going to fail chem tomorrow.  but its okay, i got 2.5 years of science and i just need .5 next year"
111,0,2014-11-18 10:55:10 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I'm so going to fail law
112,0,2014-11-18 11:04:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I'm so ill after getting wet in the rain for three days..... xD but I don't  regret..it was awesome x3
113,0,2014-11-18 11:29:38 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", im so sadd. and confusedd
114,0,2014-11-18 12:00:52 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", im so sorry @iheartrachael ill tell him to stay for you?
115,0,2014-11-18 12:09:07 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," I'm so sorry!  Neda, and her dad.. Prayers for them all.."
116,0,2014-11-18 13:44:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", god bless us everyone
117,0,2014-11-18 14:52:27 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", goin to start stuyding now .. gutter HELP ME 
118,0,2014-11-18 15:23:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", Going back to houston
119,0,2014-11-18 16:48:45 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", going home. Miss him already
120,0,2014-11-18 17:48:16 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", going on holiday 2 weeks today! NOOOOO! 
121,0,2014-11-18 18:59:48 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", going to bed to end this day
122,0,2014-11-18 19:58:36 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",- Going to get ready for my dentist appointment at 130 PM 
123,0,2014-11-18 20:13:10 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", gonna try and drink some water and eat for the first time in 7h ! Hope it stays down &lt;3 last time I ate @ kebabking.
124,0,2014-11-18 21:43:12 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", GOODBYE ANALOUGE
125,0,2014-11-18 22:20:51 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", goodbye steph. at home watching Mall Cop with my bby brother &lt;3
126,0,2014-11-18 23:40:42 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", Goodbye to my free time!!
127,0,2014-11-18 23:50:33 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", goodnight twitter. Shits been really weird with me lately. I need a doctor!!
128,0,2014-11-19 00:54:42 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," goodnight yall , i'm upset . . . i might bbl tu tweet some trifling , subliminal shit , that always makes me feel better . therapy"
129,0,2014-11-19 01:09:18 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", got in a huge car accident today. not feeling well.
130,0,2014-11-19 02:07:03 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", got my hands burned sunday at a fire. But doing much better. I guess too many beers equal me sitting too close to a firepit lol whoops.
131,0,2014-11-19 03:36:56 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", got sick at work...kinnda feel faint
132,0,2014-11-19 04:33:53 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", gotta be in brandon at 9:15 tomorrow for a doctors appointment
133,0,2014-11-19 05:26:12 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", Going to CarthageLand.
134,0,2014-11-19 06:56:37 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", gonna miss at least the first half of the PT:Honolulu top8 webcast
135,0,2014-11-19 07:19:20 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", gonnna be to worst few hours ever. Loveee yous and miss youss
136,0,2014-11-19 08:00:45 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", good night twittaz
137,0,2014-11-19 09:36:38 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", goodbyeeee Arizona. See you in 3 weeks.
138,0,2014-11-19 19:35:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", goodnight everbody.. Hope I can fall asleep.. FML
139,0,2014-11-19 20:13:59 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", goodnight...
140,0,2014-11-19 21:13:54 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", got a headache
141,0,2014-11-19 22:36:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," I wish I could do somthing amazing. no tallent that i know of. apart from Lame jokes, &amp; my dolphine noise. I'll let u know when i find it"
142,0,2014-11-19 22:54:25 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", i wish someone was here to watch this movie with me. sucks watching titanic alone. haha depresing!
143,0,2014-11-19 23:50:09 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", i offically dnt like eyeliner. Ughhh im so hungry !!!
144,0,2014-11-19 00:47:39 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", i only 45 min lunch break today... stupid dead filing
145,0,2014-11-19 02:09:04 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I really don't even know what todo.
146,0,2014-11-19 04:19:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I really don't like my new haircut... It's too short.
147,0,2014-11-19 05:08:43 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", i really need a hug
148,0,2014-11-19 06:01:45 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I sad right now 
149,0,2014-11-19 07:39:52 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I seem to have lost 2 followers today! Should I take that personally am I really that boring???
150,0,2014-11-19 07:37:58 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", i seriously hate this assignment. sigh. and i got no mood to do other assignments also coz i'm worrying too much abt this one!! grrr!
151,0,2014-11-19 8:08:07 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," i shouldn't even bother watching the mmva's, it's only gonna piss me off."
152,0,2014-11-19 09:12:34 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"," i so wish my head would sort itself out, god i hate being 15 sometimes! "
153,0,2014-11-19 10:01:11 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I spoke too soon.
154,0,2014-11-19 11:59:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I STILL CAN'T MAKE VIDEOS 
155,0,2014-11-19 12:53:44 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I think I have the handwriting of a little kid. Probably because I type so much and write so little. http://twitpic.com/7ijsv
156,0,2014-11-19 13:49:54 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I think I'm developing an anger problem
157,0,2014-11-19 14:49:13 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I think I'm getting sicker everyday.
158,0,2014-11-19 15:49:01 +0000,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", I think I'm getting that stomach virus going around....nooooooo.
